file;my-result;my-time;vanillaZ3-result;vanillaZ3-time;cvc5-result;cvc5-time;princess-result;princess-time;noodler-result;noodler-time;z3Str3-result;z3Str3-time
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_13.smt2;SAT;670;SAT;521;SAT;553;SAT;2407;SAT;592;SAT;781
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_130.smt2;SAT;799;SAT;901;SAT;739;SAT;2427;SAT;334;SAT;430
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_131.smt2;UNSAT;711;UNSAT;420;UNSAT;630;UNSAT;1668;UNSAT;345;UNSAT;331
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_132.smt2;SAT;712;SAT;1135;SAT;572;SAT;2260;SAT;754;SAT;570
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_133.smt2;SAT;627;SAT;534;SAT;592;SAT;2228;SAT;591;SAT;521
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_134.smt2;SAT;741;SAT;560;SAT;711;SAT;3215;SAT;648;SAT;9617
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_135.smt2;SAT;1404;SAT;940;SAT;1452;SAT;3623;SAT;526;SAT;487
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_136.smt2;SAT;767;SAT;529;SAT;1008;SAT;3195;SAT;497;SAT;579
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_137.smt2;SAT;938;SAT;808;SAT;869;SAT;4448;SAT;1502;SAT;4800
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_138.smt2;UNSAT;856;UNSAT;521;UNSAT;664;UNSAT;3386;UNSAT;401;UNSAT;393
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_139.smt2;UNSAT;882;UNSAT;556;UNSAT;1011;UNSAT;3288;UNSAT;407;UNSAT;395
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_14.smt2;SAT;2152;SAT;715;SAT;2954;SAT;6595;SAT;1298;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_140.smt2;UNSAT;745;UNSAT;414;UNSAT;569;UNSAT;2800;UNSAT;738;UNSAT;561
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_141.smt2;SAT;1312;SAT;867;SAT;899;SAT;2050;SAT;437;SAT;351
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_142.smt2;SAT;725;SAT;387;SAT;594;SAT;1983;SAT;452;SAT;604
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_143.smt2;SAT;681;SAT;350;SAT;503;SAT;1740;SAT;411;SAT;336
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_144.smt2;UNSAT;729;UNSAT;370;UNSAT;641;UNSAT;1535;UNSAT;271;UNSAT;331
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_145.smt2;SAT;616;SAT;382;SAT;671;SAT;3114;SAT;387;SAT;348
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_146.smt2;UNSAT;642;UNSAT;618;UNSAT;632;UNSAT;2459;UNSAT;397;UNSAT;386
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_147.smt2;UNSAT;675;UNSAT;590;UNSAT;712;UNSAT;2024;UNSAT;436;UNSAT;356
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_148.smt2;SAT;839;SAT;611;SAT;625;SAT;2462;SAT;627;SAT;1192
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_149.smt2;SAT;1304;SAT;377;SAT;551;SAT;1855;SAT;341;SAT;403
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_15.smt2;SAT;717;SAT;505;SAT;866;SAT;3118;SAT;646;UNKNOWN;1790
