file;my-result;my-time;vanillaZ3-result;vanillaZ3-time;cvc5-result;cvc5-time;princess-result;princess-time;noodler-result;noodler-time;z3Str3-result;z3Str3-time
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_130.smt2;SAT;616;SAT;355;SAT;1032;SAT;1632;SAT;604;SAT;505
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_131.smt2;SAT;949;SAT;470;SAT;506;SAT;2478;SAT;973;SAT;916
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_132.smt2;SAT;1041;SAT;455;SAT;470;SAT;1836;SAT;562;SAT;427
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_133.smt2;SAT;835;UNKNOWN;10000;SAT;634;SAT;2796;SAT;1088;SAT;898
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_134.smt2;SAT;1010;SAT;386;SAT;559;SAT;1987;SAT;365;SAT;395
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_135.smt2;SAT;683;SAT;494;UNKNOWN;10000;SAT;3095;SAT;651;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_136.smt2;SAT;760;SAT;309;SAT;773;SAT;2626;SAT;480;SAT;461
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_137.smt2;SAT;820;SAT;579;SAT;916;SAT;2565;SAT;818;SAT;499
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_138.smt2;SAT;623;SAT;497;SAT;635;SAT;2223;SAT;1093;SAT;979
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_139.smt2;SAT;803;SAT;857;SAT;1076;SAT;3189;SAT;593;SAT;526
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_14.smt2;SAT;919;SAT;828;SAT;772;SAT;1550;SAT;703;SAT;567
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_140.smt2;SAT;814;SAT;480;SAT;649;SAT;1538;SAT;532;SAT;571
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_141.smt2;SAT;768;SAT;697;SAT;740;SAT;1920;SAT;567;SAT;549
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_142.smt2;SAT;749;SAT;370;SAT;695;SAT;2197;SAT;526;SAT;447
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_143.smt2;SAT;802;SAT;767;SAT;1243;SAT;3679;SAT;566;SAT;526
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_144.smt2;SAT;990;SAT;503;SAT;627;SAT;2444;SAT;427;SAT;516
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_145.smt2;SAT;715;SAT;614;SAT;583;SAT;1576;SAT;630;SAT;589
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_146.smt2;SAT;717;SAT;432;SAT;575;SAT;1399;SAT;372;SAT;384
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_147.smt2;SAT;647;SAT;612;SAT;799;SAT;2013;SAT;580;SAT;483
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_148.smt2;SAT;651;SAT;435;SAT;469;SAT;2117;SAT;749;SAT;521
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_149.smt2;SAT;671;SAT;402;SAT;514;SAT;2100;SAT;493;SAT;412
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_15.smt2;SAT;802;SAT;519;SAT;672;SAT;3116;SAT;1461;SAT;1062
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_150.smt2;SAT;1565;SAT;686;SAT;767;SAT;1947;SAT;863;SAT;762
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_151.smt2;SAT;791;SAT;799;SAT;714;SAT;4703;SAT;1184;SAT;1234
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_152.smt2;SAT;884;SAT;318;SAT;508;SAT;1468;SAT;319;SAT;328
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_153.smt2;SAT;659;SAT;699;SAT;706;SAT;3140;SAT;788;SAT;590
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_154.smt2;SAT;639;SAT;552;SAT;1167;SAT;2180;SAT;429;SAT;434
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_155.smt2;SAT;680;SAT;388;SAT;752;SAT;2777;SAT;704;SAT;450
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_156.smt2;SAT;674;SAT;451;SAT;715;SAT;2337;SAT;537;SAT;420
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_157.smt2;SAT;845;SAT;372;SAT;587;SAT;1796;SAT;402;SAT;393
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_158.smt2;SAT;622;SAT;469;SAT;579;SAT;1696;SAT;694;SAT;756
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_159.smt2;SAT;791;SAT;555;SAT;718;SAT;3750;SAT;559;SAT;543
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_16.smt2;SAT;953;SAT;707;SAT;742;SAT;2754;SAT;602;SAT;603
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_160.smt2;SAT;1236;SAT;403;SAT;715;SAT;1502;SAT;465;SAT;406
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_161.smt2;SAT;768;SAT;615;SAT;670;SAT;2328;SAT;498;SAT;530
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_162.smt2;SAT;807;SAT;569;SAT;1162;SAT;2238;SAT;515;SAT;426
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_163.smt2;SAT;629;SAT;385;SAT;672;SAT;1797;SAT;638;SAT;617
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_164.smt2;SAT;824;SAT;851;SAT;848;SAT;2336;SAT;445;SAT;452
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_165.smt2;SAT;963;SAT;817;SAT;1078;SAT;2686;SAT;802;SAT;821
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_166.smt2;SAT;776;SAT;879;SAT;784;SAT;2284;SAT;832;SAT;629
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_167.smt2;SAT;801;SAT;688;SAT;809;SAT;1981;SAT;719;SAT;584
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_168.smt2;SAT;794;SAT;467;SAT;815;SAT;2384;SAT;538;SAT;436
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_169.smt2;SAT;966;SAT;685;SAT;769;SAT;2289;SAT;618;SAT;563
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_17.smt2;SAT;853;SAT;673;UNKNOWN;10000;SAT;3959;SAT;638;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_170.smt2;SAT;632;SAT;332;SAT;525;SAT;1395;SAT;352;SAT;377
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_171.smt2;SAT;697;SAT;373;SAT;526;SAT;2476;SAT;339;SAT;354
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_172.smt2;SAT;548;SAT;433;SAT;452;SAT;2065;SAT;874;SAT;890
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_173.smt2;SAT;1038;SAT;859;SAT;482;SAT;2042;SAT;608;SAT;879
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_174.smt2;SAT;656;SAT;3938;UNKNOWN;10000;SAT;2635;SAT;592;SAT;531
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_175.smt2;SAT;1113;SAT;611;SAT;959;SAT;1883;SAT;594;SAT;399
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_176.smt2;SAT;673;SAT;420;SAT;575;SAT;1503;SAT;428;SAT;390
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_177.smt2;SAT;726;SAT;599;SAT;573;SAT;2069;SAT;562;SAT;610
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_178.smt2;SAT;751;SAT;562;SAT;632;SAT;3650;SAT;614;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_179.smt2;SAT;668;SAT;383;SAT;673;SAT;2954;SAT;894;SAT;888
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_18.smt2;SAT;1002;SAT;602;SAT;668;SAT;2141;SAT;446;SAT;350
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_180.smt2;SAT;650;SAT;344;SAT;773;SAT;1602;SAT;396;SAT;456
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_181.smt2;SAT;677;SAT;434;SAT;724;SAT;2263;SAT;360;SAT;354
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_182.smt2;SAT;590;SAT;983;SAT;946;SAT;2412;SAT;469;SAT;558
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_183.smt2;SAT;664;SAT;330;SAT;1319;SAT;3123;SAT;335;SAT;298
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_184.smt2;SAT;534;SAT;502;SAT;550;SAT;3527;SAT;634;SAT;910
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_185.smt2;SAT;624;SAT;336;SAT;547;SAT;1288;SAT;326;SAT;358
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_186.smt2;SAT;1026;SAT;628;SAT;821;SAT;2626;SAT;519;SAT;485
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_187.smt2;SAT;777;SAT;476;SAT;602;SAT;2233;SAT;952;SAT;828
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_188.smt2;SAT;1032;SAT;857;SAT;543;SAT;2043;SAT;525;SAT;549
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_189.smt2;SAT;807;SAT;461;SAT;588;SAT;1796;SAT;490;SAT;523
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_19.smt2;SAT;635;SAT;365;SAT;768;SAT;1928;SAT;542;SAT;715
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_190.smt2;SAT;703;SAT;337;SAT;541;SAT;1790;SAT;446;SAT;432
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_191.smt2;SAT;734;SAT;488;SAT;679;SAT;2612;SAT;683;SAT;860
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_192.smt2;SAT;1041;SAT;788;SAT;813;SAT;1694;SAT;389;SAT;405
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_193.smt2;SAT;678;SAT;436;SAT;534;SAT;1085;SAT;449;SAT;370
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_194.smt2;SAT;672;SAT;545;SAT;612;SAT;1614;SAT;519;SAT;583
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_195.smt2;SAT;736;SAT;453;SAT;602;SAT;1555;SAT;673;SAT;452
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_196.smt2;SAT;1063;SAT;368;SAT;631;SAT;2213;SAT;422;SAT;355
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_197.smt2;SAT;641;SAT;337;SAT;544;SAT;2457;SAT;390;SAT;432
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_198.smt2;SAT;724;SAT;503;SAT;569;SAT;2556;SAT;496;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_199.smt2;SAT;660;SAT;480;SAT;963;SAT;1976;SAT;463;SAT;501
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_2.smt2;SAT;655;SAT;489;SAT;601;SAT;1646;SAT;611;SAT;499
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_20.smt2;SAT;692;SAT;511;SAT;666;SAT;1869;SAT;488;SAT;436
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_200.smt2;SAT;701;SAT;411;SAT;554;SAT;1603;SAT;430;SAT;386
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_21.smt2;SAT;731;SAT;483;SAT;562;SAT;2984;SAT;912;SAT;922
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_22.smt2;SAT;812;SAT;517;SAT;755;SAT;1957;SAT;545;SAT;453
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_23.smt2;SAT;655;SAT;431;SAT;554;SAT;2788;SAT;525;SAT;489
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_24.smt2;SAT;633;SAT;450;SAT;580;SAT;1842;SAT;550;SAT;528
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_25.smt2;SAT;725;SAT;526;SAT;656;SAT;1690;SAT;518;SAT;473
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_26.smt2;SAT;650;SAT;452;SAT;529;SAT;1823;SAT;580;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_27.smt2;SAT;695;SAT;433;SAT;533;SAT;1528;SAT;446;SAT;357
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track01/01_track_28.smt2;SAT;610;SAT;489;SAT;680;SAT;2106;SAT;653;UNKNOWN;10000
