file;my-result;my-time;vanillaZ3-result;vanillaZ3-time;cvc5-result;cvc5-time;princess-result;princess-time;noodler-result;noodler-time;z3Str3-result;z3Str3-time
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_1.smt2;SAT;867;SAT;937;UNKNOWN;11515;SAT;2655;SAT;1172;UNKNOWN;415
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_2.smt2;SAT;639;UNKNOWN;10105;UNKNOWN;11200;UNKNOWN;10379;SAT;1274;UNKNOWN;545
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_3.smt2;SAT;1085;UNKNOWN;10171;UNKNOWN;11458;UNKNOWN;10432;SAT;2482;UNKNOWN;545
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_4.smt2;SAT;766;UNKNOWN;10075;UNKNOWN;11164;UNKNOWN;10444;UNKNOWN;10118;UNKNOWN;496
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_5.smt2;SAT;811;SAT;435;UNKNOWN;11434;SAT;2884;SAT;935;UNKNOWN;758
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_6.smt2;SAT;765;SAT;5135;UNKNOWN;11392;SAT;4834;SAT;671;UNKNOWN;490
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_7.smt2;SAT;909;UNKNOWN;10170;UNKNOWN;11423;UNKNOWN;10472;UNKNOWN;10099;UNKNOWN;573
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_8.smt2;SAT;836;SAT;1076;SAT;1314;SAT;2662;SAT;936;UNKNOWN;968
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track02/02_track_9.smt2;SAT;962;UNKNOWN;10086;UNKNOWN;11277;UNKNOWN;9572;UNKNOWN;10237;UNKNOWN;490
