file;my-result;my-time;vanillaZ3-result;vanillaZ3-time;cvc5-result;cvc5-time;princess-result;princess-time;noodler-result;noodler-time;z3Str3-result;z3Str3-time
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_1.smt2;UNSAT;958;UNSAT;647;UNSAT;2500;UNSAT;6839;UNSAT;1749;UNSAT;3039
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_10.smt2;UNSAT;5337;UNSAT;4379;UNSAT;3921;UNSAT;7531;UNSAT;1849;UNSAT;1617
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_100.smt2;SAT;2860;SAT;2864;SAT;2285;SAT;5870;SAT;5492;SAT;3860
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_101.smt2;SAT;3759;SAT;2489;SAT;3109;SAT;5854;SAT;1507;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_102.smt2;SAT;4712;SAT;4650;SAT;7276;SAT;6696;SAT;2600;SAT;1498
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_103.smt2;SAT;4065;SAT;6108;SAT;3057;SAT;4775;SAT;1966;SAT;4170
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_104.smt2;SAT;3723;SAT;5178;SAT;6344;SAT;7209;SAT;4790;SAT;4079
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_105.smt2;SAT;5400;SAT;2216;SAT;1876;SAT;3817;SAT;3770;SAT;1298
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_106.smt2;SAT;2423;SAT;3259;SAT;4572;SAT;5529;SAT;5242;SAT;2811
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_107.smt2;SAT;1963;SAT;2118;SAT;2205;SAT;4207;SAT;3964;SAT;5300
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_108.smt2;SAT;3029;SAT;2982;SAT;4618;SAT;4908;SAT;1231;SAT;2871
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_109.smt2;SAT;4160;SAT;5337;SAT;4076;UNKNOWN;10000;SAT;2748;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_11.smt2;UNSAT;3857;UNSAT;3213;UNSAT;5799;UNSAT;4227;UNSAT;3955;UNSAT;1768
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_110.smt2;SAT;2573;SAT;2350;UNKNOWN;10000;SAT;4842;SAT;1318;SAT;2445
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_111.smt2;SAT;1199;SAT;1123;SAT;4257;SAT;9700;SAT;1774;SAT;1072
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_112.smt2;SAT;1351;SAT;1162;SAT;2366;SAT;6919;SAT;2470;SAT;2966
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_113.smt2;SAT;6506;SAT;4475;SAT;5520;UNKNOWN;10000;SAT;2983;SAT;3758
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_114.smt2;SAT;4940;SAT;2404;SAT;4786;SAT;5679;SAT;2837;SAT;1788
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_115.smt2;SAT;3122;SAT;3740;SAT;3636;SAT;8127;SAT;5882;SAT;4369
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_116.smt2;SAT;3138;SAT;3737;SAT;3094;SAT;5535;SAT;1904;SAT;2604
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_117.smt2;SAT;1834;SAT;4967;SAT;3771;SAT;4340;SAT;2658;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_118.smt2;SAT;4973;SAT;3719;SAT;3613;SAT;5073;SAT;2064;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_119.smt2;SAT;3959;SAT;5535;SAT;5323;UNKNOWN;10000;SAT;5140;SAT;5049
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_12.smt2;UNSAT;3229;UNSAT;2304;UNSAT;2436;UNSAT;3855;UNSAT;1109;UNSAT;1387
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_120.smt2;SAT;1921;SAT;1230;SAT;4970;SAT;6083;SAT;3968;SAT;2874
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track03/03_track_121.smt2;SAT;4008;SAT;2998;SAT;5664;UNKNOWN;10000;SAT;1260;SAT;1297
